,alias,total,remuneration,employability,jobSatisfaction,workLifeBalance,diversityInTasks,careerProgressionOpportunities,__typename
78,fund-accountant,5.0,3.0,4.0,3.6,4.6,3.2,3.2,RoleReviewStats
79,reconciliations-officer,,,,,,,,
80,financial-administrator,11.0,4.2,4.5,4.5,4.5,4.1,3.8,RoleReviewStats
81,pricing-analyst,,,,,,,,
82,collections-team-leader,2.0,4.0,3.0,5.0,4.0,4.0,4.0,RoleReviewStats
83,analytics-analyst,,,,,,,,
84,settlements-administrator,,,,,,,,
85,private-investigator,6.0,3.7,3.8,4.5,4.0,4.0,3.3,RoleReviewStats
86,trust-accountant,8.0,4.3,4.3,4.9,4.8,4.5,3.6,RoleReviewStats
87,collections-officer,40.0,3.2,3.6,3.8,4.2,3.7,3.3,RoleReviewStats
88,payments-officer,1.0,5.0,5.0,5.0,4.0,5.0,4.0,RoleReviewStats
89,assurance-analyst,,,,,,,,
90,actuary,2.0,5.0,5.0,5.0,4.0,4.5,4.5,RoleReviewStats
91,specialist-consultant,1.0,4.0,4.0,5.0,5.0,4.0,5.0,RoleReviewStats
92,pricing-manager,1.0,3.0,4.0,4.0,4.0,3.0,3.0,RoleReviewStats
93,site-administration-officer,,,,,,,,
94,documentation-manager,,,,,,,,
95,operations-representative,,,,,,,,
96,school-officer,9.0,3.2,3.3,4.7,4.2,4.2,2.7,RoleReviewStats
97,management-executive,,,,,,,,
98,support-clerk,,,,,,,,
99,assistant_2,45.0,3.6,3.9,4.2,4.2,3.9,3.6,RoleReviewStats
100,management-assistant,,,,,,,,
101,building-administrator,,,,,,,,
102,team-assistant,10.0,4.2,4.2,3.5,4.3,4.1,3.1,RoleReviewStats
103,executive-assistant,197.0,3.8,3.9,4.0,4.1,4.0,3.4,RoleReviewStats
104,planning-administrator,,,,,,,,
105,services-clerk,1.0,3.0,5.0,4.0,5.0,5.0,5.0,RoleReviewStats
106,management-administrator,,,,,,,,
107,office-manager,111.0,3.7,4.0,4.0,4.0,4.1,3.3,RoleReviewStats
108,office-assistant,23.0,3.4,3.7,3.7,4.0,3.5,3.3,RoleReviewStats
109,personal-assistant,67.0,3.7,4.1,4.1,4.1,4.1,3.3,RoleReviewStats
110,operations-administration-officer,,,,,,,,
111,document-controller,13.0,3.8,3.8,4.1,4.1,3.5,3.9,RoleReviewStats
112,office-allrounder,4.0,4.5,3.8,5.0,4.8,4.3,3.8,RoleReviewStats
113,office-clerk,3.0,3.0,3.3,3.0,3.7,3.3,3.0,RoleReviewStats
114,relationship-assistant,,,,,,,,
115,data-entry-clerk,9.0,3.4,3.7,4.1,4.2,3.7,3.9,RoleReviewStats
116,data-entry-operator,31.0,3.5,3.6,4.0,4.4,3.6,3.5,RoleReviewStats
117,office-coordinator,5.0,3.2,4.6,4.2,4.2,4.6,3.6,RoleReviewStats
118,administration-support-officer,36.0,3.4,3.9,3.9,4.2,3.8,3.1,RoleReviewStats
119,administration-clerk,18.0,4.1,4.1,3.7,3.9,3.9,3.8,RoleReviewStats
120,support-administrator,3.0,4.3,3.3,4.0,4.3,4.3,3.3,RoleReviewStats
121,receptionist,217.0,3.6,3.9,3.9,4.1,3.8,3.4,RoleReviewStats
122,centre-administrator,1.0,2.0,5.0,3.0,5.0,4.0,1.0,RoleReviewStats
123,sales-administration-officer,3.0,2.7,3.7,4.3,4.3,3.0,3.0,RoleReviewStats
124,administration-officer,745.0,3.6,3.8,3.9,4.1,3.7,3.4,RoleReviewStats
125,archivist,8.0,3.6,4.0,4.3,4.8,4.0,2.8,RoleReviewStats
126,records-officer,7.0,4.1,4.1,4.4,4.7,3.9,4.0,RoleReviewStats
127,administration-specialist,2.0,4.0,5.0,4.5,4.5,4.5,4.5,RoleReviewStats
128,administration-manager,70.0,3.6,4.0,4.1,4.2,4.2,3.7,RoleReviewStats
129,team-administrator,3.0,3.7,4.3,4.3,4.7,4.7,4.3,RoleReviewStats
130,typist,1.0,4.0,4.0,4.0,4.0,3.0,3.0,RoleReviewStats
131,site-administrator,26.0,3.6,3.8,4.4,4.4,4.5,4.0,RoleReviewStats
132,fulfilment-specialist,,,,,,,,
