,alias,total,remuneration,employability,jobSatisfaction,workLifeBalance,diversityInTasks,careerProgressionOpportunities,__typename
369,telemarketer,6.0,3.2,3.7,3.8,4.0,3.2,3.5,RoleReviewStats
370,customer-service-team-leader,8.0,2.6,3.4,3.3,3.4,3.1,3.1,RoleReviewStats
371,support-representative,,,,,,,,
372,retention-consultant,1.0,4.0,4.0,3.0,4.0,3.0,4.0,RoleReviewStats
373,recoveries-officer,,,,,,,,
374,enquiries-officer,,,,,,,,
375,customer-value-specialist,,,,,,,,
376,centre-officer,,,,,,,,
377,customer-experience-consultant,6.0,3.0,2.7,3.7,4.2,2.8,3.0,RoleReviewStats
378,customer-consultant,3.0,3.0,3.3,3.0,3.3,2.7,3.7,RoleReviewStats
379,scheduling-specialist,,,,,,,,
380,call-centre-sales-representative,6.0,3.8,4.0,3.8,3.8,3.2,3.2,RoleReviewStats
381,collections-officer,40.0,3.2,3.6,3.8,4.2,3.7,3.3,RoleReviewStats
382,customer-service-representative-csr,348.0,3.5,3.7,3.7,3.9,3.6,3.5,RoleReviewStats
383,services-officer,18.0,3.4,3.7,3.0,3.3,3.2,3.2,RoleReviewStats
384,customer-care-specialist,4.0,4.0,4.3,3.8,4.0,3.8,4.0,RoleReviewStats
385,customer-specialist,,,,,,,,
386,customer-support-officer,44.0,3.3,3.6,3.7,4.0,3.5,3.5,RoleReviewStats
387,services-team-leader,1.0,4.0,4.0,4.0,4.0,4.0,5.0,RoleReviewStats
388,helpdesk-operator,1.0,3.0,4.0,3.0,3.0,2.0,3.0,RoleReviewStats
389,customer-experience-manager,4.0,3.8,4.0,3.8,4.3,3.5,3.8,RoleReviewStats
390,bookings-consultant,1.0,1.0,3.0,1.0,3.0,1.0,1.0,RoleReviewStats
391,recoveries-specialist,,,,,,,,
392,customer-experience-specialist,1.0,5.0,5.0,5.0,5.0,5.0,3.0,RoleReviewStats
393,sales-and-service-manager,,,,,,,,
394,customer-services-manager,55.0,3.5,3.8,3.8,3.9,3.9,3.6,RoleReviewStats
395,authorised-officer,5.0,3.8,3.2,2.8,4.0,3.2,2.4,RoleReviewStats
396,centre-team-leader,,,,,,,,
397,centre-operator,,,,,,,,
398,centre-supervisor,,,,,,,,
399,collections-manager,2.0,4.0,4.5,4.5,5.0,4.5,4.0,RoleReviewStats
400,complaints-officer,1.0,3.0,1.0,1.0,3.0,2.0,1.0,RoleReviewStats
401,operations-consultant,2.0,3.0,3.5,3.5,4.0,3.0,3.5,RoleReviewStats
402,workforce-analyst,3.0,3.0,3.3,3.3,4.7,3.3,3.0,RoleReviewStats
403,support-specialist,2.0,4.5,2.5,4.5,4.0,5.0,4.0,RoleReviewStats
404,retention-specialist,,,,,,,,
405,optimisation-specialist,,,,,,,,
406,workforce-manager,1.0,4.0,4.0,5.0,5.0,4.0,5.0,RoleReviewStats
407,transport-officer,3.0,3.0,3.3,3.0,4.3,3.3,2.7,RoleReviewStats
408,bank-teller,22.0,3.5,3.7,3.5,3.8,3.5,3.5,RoleReviewStats
409,customer-manager,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
410,recovery-officer,,,,,,,,
411,service-delivery-officer,5.0,4.2,3.8,3.8,3.8,2.6,4.2,RoleReviewStats
412,collections-team-leader,2.0,4.0,3.0,5.0,4.0,4.0,4.0,RoleReviewStats
413,information-officer,3.0,3.7,3.0,2.0,3.3,2.3,2.0,RoleReviewStats
414,team-manager,10.0,3.0,4.1,4.0,3.7,3.8,3.2,RoleReviewStats
415,area-director,,,,,,,,
416,chief-executive-officer,98.0,3.5,3.3,4.2,3.5,4.5,3.3,RoleReviewStats
417,chief-operating-officer,30.0,3.9,3.6,4.4,3.9,4.4,3.9,RoleReviewStats
418,managing-director,76.0,3.8,3.9,4.4,3.6,4.3,3.8,RoleReviewStats
419,general-manager,172.0,3.7,3.7,4.1,3.5,4.3,3.7,RoleReviewStats
420,chief-of-staff,4.0,4.5,3.0,4.3,3.3,4.3,4.3,RoleReviewStats
421,evaluation-manager,,,,,,,,
422,school-manager,2.0,2.0,2.5,3.5,2.0,4.0,2.0,RoleReviewStats
423,anthropologist,1.0,5.0,2.0,4.0,3.0,4.0,3.0,RoleReviewStats
424,fundraiser,3.0,3.7,2.3,2.3,3.7,2.7,4.0,RoleReviewStats
425,fundraising-executive,,,,,,,,
426,orientation-and-mobility-specialist,,,,,,,,
427,house-supervisor,4.0,4.0,4.5,4.5,4.3,4.5,4.8,RoleReviewStats
428,community-officer,1.0,2.0,5.0,4.0,4.0,5.0,5.0,RoleReviewStats
429,support-leader,,,,,,,,
430,youth-justice-worker,1.0,4.0,3.0,3.0,3.0,4.0,4.0,RoleReviewStats
431,development-associate,,,,,,,,
432,navigator,,,,,,,,
433,support-staff,3.0,4.7,4.7,5.0,4.7,5.0,4.7,RoleReviewStats
434,disability-support-worker,582.0,3.9,3.8,4.3,4.0,4.0,3.8,RoleReviewStats
435,life-coordinator,,,,,,,,
436,support-supervisor,,,,,,,,
437,fundraising-officer,1.0,2.0,1.0,2.0,3.0,3.0,2.0,RoleReviewStats
438,contact-officer,2.0,3.0,4.0,4.0,4.0,2.5,3.0,RoleReviewStats
439,home-care-worker,24.0,3.9,3.6,4.3,4.3,4.0,3.5,RoleReviewStats
440,family-worker,5.0,3.8,3.0,4.0,3.8,4.4,3.4,RoleReviewStats
441,fundraising-manager,3.0,3.3,3.3,3.7,4.0,4.0,3.7,RoleReviewStats
442,development-worker,,,,,,,,
443,community-support-worker,151.0,3.6,3.9,4.4,4.1,4.2,3.7,RoleReviewStats
444,delivery-team-leader,,,,,,,,
445,aged-care-support-worker,42.0,3.9,4.0,4.4,4.3,4.0,4.2,RoleReviewStats
446,volunteer-manager,,,,,,,,
447,care-specialist,,,,,,,,
448,support-worker,275.0,3.8,3.8,4.3,4.1,4.0,3.7,RoleReviewStats
449,philanthropy-manager,,,,,,,,
450,community-development-officer,15.0,3.7,4.3,4.5,4.1,4.5,3.9,RoleReviewStats
451,service-worker,1.0,2.0,3.0,4.0,3.0,4.0,4.0,RoleReviewStats
452,fundraising-coordinator,,,,,,,,
453,mental-health-support-worker,44.0,3.8,3.5,4.2,3.9,3.8,3.6,RoleReviewStats
454,employment-officer,2.0,2.5,3.5,3.5,4.0,2.5,4.0,RoleReviewStats
455,family-support-worker,21.0,3.9,3.8,4.0,4.0,4.0,3.6,RoleReviewStats
456,advocate,4.0,3.8,3.8,3.8,4.3,3.0,3.5,RoleReviewStats
457,personal-carer,44.0,3.4,4.0,4.1,4.1,3.9,3.3,RoleReviewStats
458,recreational-activities-officer,,,,,,,,
459,service-leader,1.0,3.0,3.0,3.0,3.0,3.0,2.0,RoleReviewStats
460,ndis-support-worker,14.0,3.3,3.4,4.0,4.0,3.9,3.5,RoleReviewStats
461,placement-consultant,1.0,2.0,2.0,5.0,5.0,2.0,3.0,RoleReviewStats
462,house-manager,4.0,3.5,4.0,4.3,4.0,3.8,3.5,RoleReviewStats
463,employment-consultant,85.0,3.3,3.6,3.8,3.9,3.6,3.4,RoleReviewStats
464,implementation-officer,,,,,,,,
465,youth-worker,94.0,3.8,3.9,4.2,3.8,4.0,3.8,RoleReviewStats
466,heritage-adviser,,,,,,,,
467,care-consultant,,,,,,,,
468,care-team-leader,,,,,,,,
469,lifestyle-officer,1.0,1.0,3.0,5.0,4.0,4.0,3.0,RoleReviewStats
470,support-coordinator,48.0,3.7,3.8,4.0,4.0,3.9,3.6,RoleReviewStats
471,response-coordinator,,,,,,,,
472,health-promotion-officer,3.0,4.3,4.0,5.0,4.7,4.7,4.3,RoleReviewStats
473,housing-manager,,,,,,,,
474,diversional-therapist,3.0,3.3,3.7,4.3,4.3,4.3,3.0,RoleReviewStats
475,caseworker,18.0,3.9,3.9,4.1,3.6,3.9,4.0,RoleReviewStats
476,practice-leader,4.0,3.3,3.5,4.3,3.0,3.8,3.8,RoleReviewStats
477,capacity-manager,,,,,,,,
478,aged-care-worker,90.0,3.3,3.9,3.9,3.9,3.9,3.5,RoleReviewStats
479,community-liaison-officer,4.0,4.0,3.0,3.8,4.0,3.8,3.0,RoleReviewStats
480,care-coordinator,8.0,4.0,4.4,4.3,4.5,4.0,4.3,RoleReviewStats
481,personal-care-worker,137.0,3.5,3.8,4.1,3.8,3.7,3.6,RoleReviewStats
482,programs-manager,5.0,3.6,3.2,4.2,4.0,4.2,3.4,RoleReviewStats
483,school-crossing-supervisor,6.0,3.8,4.7,4.7,4.8,3.8,4.2,RoleReviewStats
484,community-worker,5.0,4.2,3.4,4.4,4.0,4.4,3.2,RoleReviewStats
485,intake-worker,1.0,4.0,4.0,5.0,5.0,3.0,3.0,RoleReviewStats
486,retention-coordinator,,,,,,,,
487,transition-officer,,,,,,,,
488,program-assistant,4.0,3.8,4.3,4.5,3.3,4.0,3.8,RoleReviewStats
489,activities-officer,2.0,3.0,3.0,4.0,3.5,4.5,3.0,RoleReviewStats
490,historian,,,,,,,,
491,tenancy-manager,1.0,3.0,3.0,2.0,2.0,3.0,2.0,RoleReviewStats
492,peer-worker,2.0,3.5,4.0,4.5,3.0,4.5,4.0,RoleReviewStats
493,work-adviser,1.0,2.0,1.0,3.0,3.0,1.0,1.0,RoleReviewStats
494,rostering-officer,9.0,4.0,3.6,3.3,3.4,3.0,2.7,RoleReviewStats
495,lifestyle-coordinator,10.0,2.3,3.4,4.0,2.9,4.3,2.9,RoleReviewStats
496,activities-coordinator,5.0,4.4,4.8,4.8,4.6,5.0,4.8,RoleReviewStats
497,liaison-manager,,,,,,,,
498,ecei-coordinator,1.0,5.0,5.0,4.0,5.0,4.0,5.0,RoleReviewStats
499,relationship-officer,2.0,4.5,4.0,4.5,4.5,4.0,4.5,RoleReviewStats
500,outreach-worker,2.0,4.0,4.5,5.0,4.5,4.5,4.0,RoleReviewStats
501,support-assistant,1.0,3.0,3.0,4.0,4.0,3.0,2.0,RoleReviewStats
502,support-manager,3.0,2.7,3.0,2.7,2.7,3.0,2.7,RoleReviewStats
503,support-practitioner,1.0,4.0,4.0,5.0,5.0,4.0,4.0,RoleReviewStats
504,interpreter,16.0,3.3,3.0,4.1,3.9,4.1,3.8,RoleReviewStats
505,child-safety-officer,2.0,3.5,4.0,4.0,3.0,4.0,2.5,RoleReviewStats
506,clinician,9.0,4.0,4.6,4.6,4.4,4.2,4.1,RoleReviewStats
507,behaviour-specialist,,,,,,,,
508,scheduling-officer,2.0,4.5,4.5,4.5,4.0,4.0,4.5,RoleReviewStats
509,client-liaison-officer,13.0,3.4,3.2,3.7,3.9,3.5,3.2,RoleReviewStats
510,investigations-manager,2.0,3.0,4.5,3.5,3.0,4.5,3.5,RoleReviewStats
511,participation-officer,,,,,,,,
512,transport-officer,3.0,3.0,3.3,3.0,4.3,3.3,2.7,RoleReviewStats
513,recreation-officer,2.0,5.0,4.5,3.0,3.0,4.5,3.0,RoleReviewStats
514,evaluation-manager,,,,,,,,
515,dean,,,,,,,,
516,review-officer,2.0,2.0,3.0,4.5,4.5,2.5,3.0,RoleReviewStats
517,drug-and-alcohol-worker,3.0,2.0,2.0,2.7,3.3,2.7,2.7,RoleReviewStats
518,grants-officer,2.0,4.5,5.0,4.0,4.5,4.0,3.0,RoleReviewStats
519,outreach-officer,3.0,5.0,4.0,5.0,5.0,4.3,4.3,RoleReviewStats
520,access-officer,,,,,,,,
521,centre-supervisor,,,,,,,,
522,chaplain,5.0,3.2,3.4,4.8,4.4,3.8,4.0,RoleReviewStats
523,coordinator,47.0,3.5,3.7,4.2,3.9,4.0,3.8,RoleReviewStats
524,location-manager,,,,,,,,
525,place-manager,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
526,case-manager,122.0,3.8,3.8,4.0,3.9,3.9,3.7,RoleReviewStats
527,engagement-officer,5.0,3.2,3.4,3.0,3.8,3.4,3.2,RoleReviewStats
528,behaviour-support-practitioner,8.0,3.6,4.3,3.5,4.0,3.9,3.6,RoleReviewStats
529,personal-care-assistant,146.0,3.8,4.1,4.2,4.0,4.0,4.1,RoleReviewStats
530,therapist,5.0,3.2,3.4,3.8,3.8,3.6,3.0,RoleReviewStats
531,programme-coordinator,,,,,,,,
532,practitioner,4.0,3.8,3.5,4.3,3.5,4.3,3.5,RoleReviewStats
533,database-officer,,,,,,,,
534,partnerships-executive,,,,,,,,
535,team-leader,275.0,3.6,4.0,4.0,3.9,3.9,3.8,RoleReviewStats
536,wellbeing-manager,1.0,5.0,1.0,5.0,3.0,4.0,3.0,RoleReviewStats
537,facilitator,12.0,3.5,3.4,4.6,4.3,3.9,3.8,RoleReviewStats
538,advocacy-officer,,,,,,,,
539,archaeologist,6.0,3.8,3.2,3.3,3.7,4.5,3.5,RoleReviewStats
540,positrack-operator,,,,,,,,
541,estimating-team-leader,,,,,,,,
542,combo-operator,,,,,,,,
543,structures-supervisor,1.0,3.0,3.0,3.0,4.0,4.0,3.0,RoleReviewStats
544,bobcat-operator,1.0,3.0,3.0,3.0,3.0,3.0,2.0,RoleReviewStats
545,building-supervisor,7.0,3.6,3.3,3.9,3.9,4.0,3.6,RoleReviewStats
546,workflow-manager,,,,,,,,
547,construction-team-leader,,,,,,,,
548,civil-estimator,10.0,4.1,4.0,4.2,4.2,3.8,4.0,RoleReviewStats
549,construction-project-manager,17.0,4.1,4.1,4.3,3.8,4.1,4.3,RoleReviewStats
550,building-estimator,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
551,backhoe-operator,1.0,1.0,3.0,3.0,3.0,2.0,1.0,RoleReviewStats
552,roller-operator,14.0,4.1,3.4,4.1,3.9,3.4,3.7,RoleReviewStats
553,construction-supervisor,11.0,4.0,3.7,4.4,4.2,3.7,3.9,RoleReviewStats
554,client-side-project-manager,8.0,3.6,4.1,4.0,4.3,3.5,3.1,RoleReviewStats
555,engineering-surveyor,10.0,3.8,4.5,3.8,3.3,3.9,4.3,RoleReviewStats
556,survey-assistant,12.0,3.3,3.7,4.0,3.6,3.7,3.5,RoleReviewStats
557,quality-adviser,1.0,3.0,1.0,4.0,1.0,2.0,3.0,RoleReviewStats
558,estimator,142.0,3.6,3.7,3.8,3.9,3.7,3.5,RoleReviewStats
559,skid-steer-operator,,,,,,,,
560,excavator-operator,93.0,3.8,3.7,4.1,3.6,4.0,3.9,RoleReviewStats
561,site-supervisor,58.0,3.8,3.9,4.1,3.8,4.1,3.9,RoleReviewStats
562,surveyor,22.0,3.5,4.1,3.9,3.5,3.8,3.8,RoleReviewStats
563,foreperson,16.0,3.6,3.6,4.1,3.3,4.1,3.9,RoleReviewStats
564,civil-construction-worker,5.0,3.6,4.0,3.2,3.2,3.2,3.4,RoleReviewStats
565,quantity-surveyor,38.0,3.6,3.8,4.2,3.7,4.2,4.1,RoleReviewStats
566,work-supervisor,,,,,,,,
567,quality-assurance-inspector,2.0,4.0,4.5,4.0,4.5,4.0,4.0,RoleReviewStats
568,water-cart-operator,14.0,4.0,3.6,4.3,4.0,4.0,3.5,RoleReviewStats
569,building-surveyor,14.0,3.1,3.5,3.4,3.8,3.6,3.6,RoleReviewStats
570,survey-technician,2.0,3.5,4.5,4.0,4.5,4.5,4.5,RoleReviewStats
571,safety-adviser,20.0,3.8,3.6,3.9,3.8,4.0,3.8,RoleReviewStats
572,scraper-operator,1.0,4.0,4.0,5.0,4.0,4.0,4.0,RoleReviewStats
573,contracts-administrator,87.0,3.8,3.7,4.0,3.8,4.0,3.9,RoleReviewStats
574,assistant-project-manager,5.0,3.4,4.2,3.8,4.0,4.0,4.2,RoleReviewStats
575,contracting-manager,1.0,4.0,3.0,4.0,4.0,4.0,3.0,RoleReviewStats
576,plant-operator,107.0,3.8,3.7,4.0,3.7,3.8,3.5,RoleReviewStats
577,grader-operator,10.0,4.4,4.5,4.6,4.0,4.4,4.1,RoleReviewStats
578,site-manager,114.0,3.7,3.9,3.9,3.6,4.0,3.8,RoleReviewStats
579,health-safety-and-environment-advisor,26.0,4.3,3.8,4.1,4.0,3.8,3.8,RoleReviewStats
580,construction-manager,45.0,4.0,3.7,4.3,3.7,4.4,3.9,RoleReviewStats
581,building-inspector,4.0,4.0,4.3,3.8,4.0,4.0,3.5,RoleReviewStats
582,civil-project-manager,3.0,3.3,2.3,3.7,4.0,3.0,3.0,RoleReviewStats
583,electrical-estimator,10.0,3.2,3.2,3.6,3.8,3.6,3.2,RoleReviewStats
584,earthworks-supervisor,,,,,,,,
585,crane-operator,72.0,3.9,3.8,4.0,3.5,4.2,3.8,RoleReviewStats
586,equipment-operator,3.0,2.0,4.0,3.3,3.0,4.0,3.0,RoleReviewStats
587,health-and-safety-adviser,5.0,3.8,3.6,4.0,4.0,3.8,2.8,RoleReviewStats
588,safety-coordinator,,,,,,,,
589,building-coordinator,,,,,,,,
590,leading-hand,73.0,3.7,3.9,3.7,3.6,3.8,3.7,RoleReviewStats
591,contracts-manager,23.0,3.2,3.4,3.8,3.5,3.8,3.3,RoleReviewStats
592,construction-superintendent,1.0,4.0,3.0,4.0,4.0,4.0,3.0,RoleReviewStats
593,planning-consultant,1.0,3.0,4.0,1.0,5.0,2.0,2.0,RoleReviewStats
594,field-specialist,,,,,,,,
595,loader-operator,20.0,3.8,4.3,3.9,3.4,3.8,3.4,RoleReviewStats
596,delivery-director,,,,,,,,
597,safety-officer,12.0,3.6,3.8,4.2,3.8,4.3,3.9,RoleReviewStats
598,planner,16.0,3.8,3.8,4.4,4.3,4.0,3.9,RoleReviewStats
599,field-supervisor,4.0,3.8,2.5,3.5,3.8,4.3,2.8,RoleReviewStats
600,electrical-project-manager,4.0,4.5,3.8,4.3,4.3,4.0,4.0,RoleReviewStats
601,crew-member,192.0,3.3,3.4,3.3,3.7,3.3,3.3,RoleReviewStats
602,project-director,4.0,3.0,3.0,3.5,3.5,3.3,2.8,RoleReviewStats
603,health-and-safety-officer,1.0,5.0,4.0,5.0,5.0,5.0,5.0,RoleReviewStats
604,environmental-coordinator,,,,,,,,
605,environmental-manager,2.0,3.0,3.5,3.0,2.0,3.0,4.5,RoleReviewStats
606,project-manager,196.0,3.9,3.5,4.1,3.9,4.0,3.9,RoleReviewStats
607,dozer-operator,13.0,4.3,4.4,4.5,4.5,4.5,4.5,RoleReviewStats
608,safety-manager,3.0,4.3,4.3,4.7,4.3,4.3,4.0,RoleReviewStats
609,commercial-manager,23.0,4.1,3.6,4.0,3.9,4.1,3.8,RoleReviewStats
610,landscape-supervisor,1.0,4.0,4.0,5.0,5.0,5.0,4.0,RoleReviewStats
611,environment-advisor,2.0,4.5,4.5,4.5,4.0,5.0,4.5,RoleReviewStats
612,health-and-safety-manager,3.0,4.0,4.3,4.3,3.7,4.3,4.0,RoleReviewStats
613,works-manager,,,,,,,,
614,divisional-manager,1.0,5.0,5.0,4.0,3.0,4.0,5.0,RoleReviewStats
615,design-manager,10.0,3.4,3.8,4.0,4.3,4.0,3.6,RoleReviewStats
616,scheduler,16.0,3.4,4.1,3.8,4.1,3.4,3.3,RoleReviewStats
617,quarry-operator,,,,,,,,
618,project-technician,,,,,,,,
619,assessor,23.0,3.7,3.7,4.3,4.0,3.9,3.6,RoleReviewStats
620,tender-manager,1.0,4.0,4.0,5.0,4.0,4.0,4.0,RoleReviewStats
621,drillers-assistant,2.0,4.5,5.0,5.0,5.0,4.5,5.0,RoleReviewStats
622,superintendent,30.0,3.7,3.7,4.1,3.4,4.1,3.5,RoleReviewStats
623,control-supervisor,,,,,,,,
624,bim-manager,3.0,4.7,4.3,4.7,4.7,4.3,4.3,RoleReviewStats
625,all-rounder-operator,10.0,4.2,4.3,4.4,4.5,4.5,4.3,RoleReviewStats
626,inspector,5.0,3.0,3.4,3.8,3.2,4.2,2.4,RoleReviewStats
627,project-coordinator,90.0,3.6,3.8,4.1,4.1,4.0,3.9,RoleReviewStats
628,reporting-manager,,,,,,,,
629,quality-coordinator,4.0,2.8,3.0,3.8,3.8,3.3,2.8,RoleReviewStats
630,float-driver,,,,,,,,
631,zoologist,1.0,3.0,4.0,4.0,3.0,4.0,4.0,RoleReviewStats
632,strategy-specialist,,,,,,,,
633,improvement-analyst,,,,,,,,
634,strategy-adviser,,,,,,,,
635,strategy-consultant,,,,,,,,
636,management-adviser,,,,,,,,
637,improvement-manager,1.0,3.0,3.0,4.0,4.0,3.0,3.0,RoleReviewStats
638,heritage-consultant,2.0,2.5,4.0,3.5,3.5,4.0,3.0,RoleReviewStats
639,advisory-consultant,,,,,,,,
640,strategy-manager,7.0,3.7,4.7,4.4,4.3,4.7,4.4,RoleReviewStats
641,performance-adviser,,,,,,,,
642,management-consultant,35.0,4.1,3.7,4.3,3.8,4.4,3.9,RoleReviewStats
643,specialist-consultant,1.0,4.0,4.0,5.0,5.0,4.0,5.0,RoleReviewStats
644,strategy-officer,,,,,,,,
645,economist,8.0,3.3,3.6,3.6,3.5,4.0,3.1,RoleReviewStats
646,environmental-consultant,3.0,3.3,4.7,4.7,4.3,5.0,5.0,RoleReviewStats
647,change-consultant,1.0,5.0,3.0,5.0,5.0,5.0,5.0,RoleReviewStats
648,botanist,1.0,5.0,5.0,5.0,4.0,5.0,5.0,RoleReviewStats
649,change-specialist,1.0,3.0,3.0,3.0,4.0,4.0,3.0,RoleReviewStats
650,planning-consultant,1.0,3.0,4.0,1.0,5.0,2.0,2.0,RoleReviewStats
651,policy-adviser,5.0,4.6,4.6,4.4,5.0,4.4,4.2,RoleReviewStats
652,performance-officer,,,,,,,,
653,improvement-specialist,1.0,5.0,5.0,4.0,4.0,5.0,4.0,RoleReviewStats
654,change-manager,38.0,4.3,3.4,4.1,4.1,4.2,3.9,RoleReviewStats
655,historian,,,,,,,,
656,media-analyst,,,,,,,,
657,coordination-officer,2.0,1.5,4.0,4.0,2.0,4.5,3.0,RoleReviewStats
658,sustainability-officer,,,,,,,,
659,evaluation-manager,,,,,,,,
660,planning-specialist,,,,,,,,
661,analytics-specialist,,,,,,,,
662,change-analyst,2.0,4.5,4.0,4.5,5.0,5.0,4.5,RoleReviewStats
663,transformation-manager,1.0,3.0,3.0,3.0,3.0,5.0,3.0,RoleReviewStats
664,enforcement-officer,,,,,,,,
665,mergers-and-acquisitions-manager,,,,,,,,
666,services-analyst,,,,,,,,
667,assurance-adviser,,,,,,,,
668,market-analyst,1.0,5.0,5.0,4.0,4.0,4.0,5.0,RoleReviewStats
669,strategic-analyst,,,,,,,,
670,policy-officer,16.0,4.3,3.8,3.9,4.5,3.8,3.8,RoleReviewStats
671,intelligence-analyst,2.0,4.0,4.5,4.5,3.0,4.5,3.0,RoleReviewStats
672,policy-manager,1.0,3.0,4.0,3.0,5.0,2.0,3.0,RoleReviewStats
673,pricing-specialist,,,,,,,,
674,performance-analyst,2.0,3.5,2.5,3.5,3.0,3.5,3.0,RoleReviewStats
675,change-and-communications-manager,,,,,,,,
676,improvement-officer,,,,,,,,
677,governance-manager,,,,,,,,
678,adviser,20.0,4.3,3.6,4.3,4.5,4.3,4.3,RoleReviewStats
679,innovation-officer,,,,,,,,
680,policy-analyst,1.0,4.0,4.0,4.0,4.0,4.0,3.0,RoleReviewStats
681,analytics-consultant,,,,,,,,
682,animator,7.0,3.4,2.9,4.1,3.7,3.6,3.6,RoleReviewStats
683,textile-designer,4.0,3.5,4.3,4.3,4.8,4.8,4.0,RoleReviewStats
684,interior-decorator,8.0,3.6,4.1,4.6,4.5,4.6,3.6,RoleReviewStats
685,illustrator,11.0,2.7,3.0,4.2,3.9,4.1,3.1,RoleReviewStats
686,user-experience-lead,,,,,,,,
687,interior-designer,52.0,3.2,3.4,4.1,3.9,4.2,3.9,RoleReviewStats
688,mac-operator,,,,,,,,
689,fashion-designer,11.0,3.3,3.5,4.2,4.2,4.2,3.8,RoleReviewStats
690,landscape-designer,7.0,3.0,3.7,3.7,3.7,4.3,3.4,RoleReviewStats
691,architect,47.0,2.6,3.2,3.6,3.4,3.7,3.3,RoleReviewStats
692,landscape-architect,4.0,2.8,3.5,3.3,4.0,3.5,3.5,RoleReviewStats
693,building-designer,20.0,3.7,3.9,4.3,3.9,4.0,4.0,RoleReviewStats
694,industrial-designer,14.0,3.6,3.6,4.3,4.1,3.6,3.5,RoleReviewStats
695,architectural-technician,9.0,3.2,3.4,3.4,3.0,3.6,3.7,RoleReviewStats
696,documenter,,,,,,,,
697,urban-planner,2.0,4.0,4.5,3.5,4.0,4.0,3.5,RoleReviewStats
698,visual-designer,,,,,,,,
699,revit-technician,2.0,4.0,4.0,4.5,4.0,4.5,4.0,RoleReviewStats
700,graphic-designer,152.0,3.4,3.5,3.9,4.0,4.0,3.5,RoleReviewStats
701,town-planner,3.0,3.3,3.3,2.3,3.7,2.7,3.0,RoleReviewStats
702,design-assistant,6.0,3.2,4.2,3.7,4.2,4.0,3.7,RoleReviewStats
703,project-leader,9.0,3.7,3.6,3.8,3.3,4.0,3.6,RoleReviewStats
704,drafting-manager,,,,,,,,
705,digital-designer,18.0,3.4,3.8,4.0,4.2,3.8,3.4,RoleReviewStats
706,draftperson_2,66.0,3.5,3.6,3.9,4.0,3.8,3.6,RoleReviewStats
707,garment-technician,3.0,2.7,3.0,3.3,3.0,2.7,3.3,RoleReviewStats
708,product-designer,8.0,3.9,3.4,4.6,4.6,4.4,4.0,RoleReviewStats
709,design-consultant,2.0,3.5,3.5,4.0,4.5,4.0,3.5,RoleReviewStats
710,designer,19.0,3.4,3.4,3.8,3.6,3.8,3.2,RoleReviewStats
711,artist,30.0,3.3,3.3,4.2,3.9,4.3,3.5,RoleReviewStats
712,design-team-leader,1.0,4.0,4.0,4.0,4.0,4.0,4.0,RoleReviewStats
713,user-interface-designer,2.0,4.0,4.0,4.5,4.5,4.0,4.5,RoleReviewStats
714,user-experience-designer,30.0,4.1,4.0,4.3,4.2,4.2,3.9,RoleReviewStats
715,product-developer,3.0,3.3,3.7,4.0,3.3,4.3,3.3,RoleReviewStats
716,planning-officer,4.0,4.3,4.3,4.0,4.3,3.8,3.8,RoleReviewStats
717,design-lead,1.0,5.0,1.0,3.0,4.0,5.0,2.0,RoleReviewStats
718,ux--ui-designer,7.0,3.6,3.6,4.0,4.3,3.9,4.0,RoleReviewStats
719,optimisation-manager,1.0,4.0,3.0,1.0,5.0,1.0,2.0,RoleReviewStats
720,webdesigner,10.0,3.8,3.5,3.7,4.4,3.4,3.6,RoleReviewStats
721,design-officer,1.0,3.0,2.0,2.0,2.0,5.0,2.0,RoleReviewStats
722,content-officer,,,,,,,,
723,planning-team-leader,1.0,4.0,5.0,3.0,3.0,5.0,4.0,RoleReviewStats
724,design-coordinator,3.0,4.3,4.0,4.3,3.7,4.7,4.3,RoleReviewStats
725,secondary-teacher,71.0,3.2,3.8,3.7,3.2,3.8,3.3,RoleReviewStats
726,tutor,93.0,3.8,3.4,4.4,4.4,3.7,3.1,RoleReviewStats
727,lecturer,85.0,3.4,3.2,4.0,3.6,3.4,3.3,RoleReviewStats
728,physical-education-teacher,7.0,3.6,3.6,3.9,3.7,3.7,3.3,RoleReviewStats
729,mathematics-teacher,40.0,3.2,3.6,3.9,3.7,3.6,3.4,RoleReviewStats
730,academic-manager,2.0,3.5,4.5,3.5,3.5,3.0,3.0,RoleReviewStats
731,childcare-centre-manager,9.0,3.7,4.2,4.3,3.6,4.2,4.0,RoleReviewStats
732,room-assistant,7.0,3.4,4.1,4.1,4.7,3.7,3.6,RoleReviewStats
733,early-childhood-teacher,123.0,3.0,3.9,3.9,3.5,3.7,3.4,RoleReviewStats
734,english-teacher,50.0,3.4,3.7,4.1,3.7,3.7,3.5,RoleReviewStats
735,assistant-director,22.0,3.8,4.0,4.0,4.2,4.0,4.0,RoleReviewStats
736,placement-officer,,,,,,,,
737,career-development-consultant,5.0,3.2,3.0,4.4,4.4,4.6,3.2,RoleReviewStats
