,id,role_id,alias,title,roleReviewStatistics,growth,industry,salarySuggestion.locationName,salarySuggestion.suggestion.min,salarySuggestion.suggestion.max,salarySuggestion.salary_min,salarySuggestion.salary_max,salarySuggestion.salary_median,salarySuggestion.__typename,roleReviewStatistics.jobSatisfaction,roleReviewStatistics.__typename,growth.value,growth.__typename,salarySuggestion
32,invoicing-officer,invoicing-officer,invoicing-officer,Invoicing Officer,,,accounting,Australia,60000.0,75000.0,65000.0,70000.0,65000.0,SalarySuggestion,,,,,
33,financial-manager_2,financial-manager_2,financial-manager_2,Financial Manager,,,accounting,Australia,90000.0,150000.0,110000.0,130000.0,122499.0,SalarySuggestion,4.5,RoleReviewStats,11.7,Growth,
34,management-accountant,management-accountant,management-accountant,Management Accountant,,,accounting,Australia,75000.0,135000.0,95000.0,115000.0,105655.0,SalarySuggestion,3.8,RoleReviewStats,9.2,Growth,
35,manager-accounts,manager-accounts,manager-accounts,Accounts Manager,,,accounting,Australia,95000.0,155000.0,115000.0,135000.0,127021.0,SalarySuggestion,4.3,RoleReviewStats,9.2,Growth,
36,credit-officer,credit-officer,credit-officer,Credit Officer,,,accounting,Australia,65000.0,80000.0,70000.0,75000.0,70000.0,SalarySuggestion,4.1,RoleReviewStats,,,
37,account-officer,account-officer,account-officer,Accounts Officer,,,accounting,Australia,55000.0,85000.0,65000.0,75000.0,70000.0,SalarySuggestion,4.3,RoleReviewStats,4.3,Growth,
38,accounts-clerk,accounts-clerk,accounts-clerk,Accounts Clerk,,,accounting,Australia,50000.0,80000.0,60000.0,70000.0,62500.0,SalarySuggestion,3.8,RoleReviewStats,4.3,Growth,
39,payroll-and-accounts-officer,payroll-and-accounts-officer,payroll-and-accounts-officer,Payroll and Accounts Officer,,,accounting,Australia,50000.0,95000.0,65000.0,80000.0,72537.0,SalarySuggestion,4.0,RoleReviewStats,,,
40,audit-manager,audit-manager,audit-manager,Audit Manager,,,accounting,Australia,95000.0,155000.0,115000.0,135000.0,125000.0,SalarySuggestion,3.0,RoleReviewStats,,,
41,systems-accountant,systems-accountant,systems-accountant,Systems Accountant,,,accounting,Australia,85000.0,145000.0,105000.0,125000.0,114000.0,SalarySuggestion,4.0,RoleReviewStats,12.9,Growth,
42,group-accountant,group-accountant,group-accountant,Group Accountant,,,accounting,Australia,85000.0,145000.0,105000.0,125000.0,114999.0,SalarySuggestion,5.0,RoleReviewStats,9.2,Growth,
43,business-services-manager,business-services-manager,business-services-manager,Business Services Manager,,,accounting,Australia,100000.0,160000.0,120000.0,140000.0,130000.0,SalarySuggestion,4.0,RoleReviewStats,,,
44,head-of-finance,head-of-finance,head-of-finance,Head of Finance,,,accounting,Australia,170000.0,230000.0,190000.0,210000.0,200000.0,SalarySuggestion,4.5,RoleReviewStats,,,
45,internal-auditor,internal-auditor,internal-auditor,Internal Auditor,,,accounting,Australia,70000.0,130000.0,90000.0,110000.0,99999.0,SalarySuggestion,4.0,RoleReviewStats,11.1,Growth,
46,payroll-clerk,payroll-clerk,payroll-clerk,Payroll Clerk,,,accounting,Australia,55000.0,85000.0,65000.0,75000.0,67500.0,SalarySuggestion,5.0,RoleReviewStats,,,
47,forensic-accountant,forensic-accountant,forensic-accountant,Forensic Accountant,,,accounting,Australia,85000.0,100000.0,90000.0,95000.0,92500.0,SalarySuggestion,,,11.1,Growth,
48,company-accountant,company-accountant,company-accountant,Company Accountant,,,accounting,Australia,70000.0,130000.0,90000.0,110000.0,100000.0,SalarySuggestion,4.3,RoleReviewStats,9.2,Growth,
49,auditor,auditor,auditor,Auditor,,,accounting,Australia,50000.0,110000.0,70000.0,90000.0,80000.0,SalarySuggestion,3.7,RoleReviewStats,11.1,Growth,
50,payroll-administration-officer,payroll-administration-officer,payroll-administration-officer,Payroll Administration Officer,,,accounting,Australia,60000.0,90000.0,70000.0,80000.0,75000.0,SalarySuggestion,,,,,
51,finance-manager,finance-manager,finance-manager,Finance Manager,,,accounting,Australia,105000.0,165000.0,125000.0,145000.0,132500.0,SalarySuggestion,3.9,RoleReviewStats,11.7,Growth,
52,billing-officer,billing-officer,billing-officer,Billing Officer,,,accounting,Australia,45000.0,105000.0,65000.0,85000.0,71250.0,SalarySuggestion,2.0,RoleReviewStats,,,
53,services-consultant,services-consultant,services-consultant,Services Consultant,,,accounting,Australia,40000.0,100000.0,60000.0,80000.0,70000.0,SalarySuggestion,5.0,RoleReviewStats,,,
54,project-accountant,project-accountant,project-accountant,Project Accountant,,,accounting,Australia,80000.0,140000.0,100000.0,120000.0,110000.0,SalarySuggestion,3.5,RoleReviewStats,9.2,Growth,
55,accounts-assistant,accounts-assistant,accounts-assistant,Accounts Assistant,,,accounting,Australia,50000.0,80000.0,60000.0,70000.0,64500.0,SalarySuggestion,4.2,RoleReviewStats,4.3,Growth,
56,chief-financial-officer,chief-financial-officer,chief-financial-officer,Chief Financial Officer,,,accounting,Australia,195000.0,255000.0,215000.0,235000.0,225000.0,SalarySuggestion,4.3,RoleReviewStats,7.9,Growth,
